WARNING  : Скважина 20255/1 (id - 68777) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 5569д/1 (id - 6171) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32689/1 (id - 82708) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 1039/1 (id - 73350) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20898/1 (id - 81163) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21000/1 (id - 69509) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 5917/1 (id - 74427) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32740/1 (id - 66440) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20443/1 (id - 68108) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32322/2 (id - 60504) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 32222/1 (id - 6625) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32830/1 (id - 47866) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32673/2 (id - 54709) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 21425/1 (id - 58189) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20915/1 (id - 48241) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20285/1 (id - 48351) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32443/1 (id - 59017) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20393/1 (id - 6620) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14906/1 (id - 53019) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
